Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,Highway MPG,City MPG,Popularity,MSRP,Total MPG,Price per HP
Nissan,240SX,1998,regular unleaded,155,4,manual,rear wheel drive,2,performance,compact,coupe,25,20,2009,4107,22.5,26
Mazda,2,2012,regular unleaded,100,4,manual,front wheel drive,4,hatchback,compact,4dr hatchback,35,29,586,16020,32.0,160
Mazda,2,2012,regular unleaded,100,4,manual,front wheel drive,4,hatchback,compact,4dr hatchback,35,29,586,14530,32.0,145
Mazda,2,2012,regular unleaded,100,4,automatic,front wheel drive,4,hatchback,compact,4dr hatchback,34,28,586,16860,31.0,169
Mazda,2,2012,regular unleaded,100,4,automatic,front wheel drive,4,hatchback,compact,4dr hatchback,34,28,586,15370,31.0,154
Mazda,2,2013,regular unleaded,100,4,automatic,front wheel drive,4,hatchback,compact,4dr hatchback,34,28,586,17050,31.0,170
Mazda,2,2013,regular unleaded,100,4,automatic,front wheel drive,4,hatchback,compact,4dr hatchback,34,28,586,15560,31.0,156
Mazda,2,2013,regular unleaded,100,4,manual,front wheel drive,4,hatchback,compact,4dr hatchback,35,29,586,16210,32.0,162
Mazda,2,2013,regular unleaded,100,4,manual,front wheel drive,4,hatchback,compact,4dr hatchback,35,29,586,14720,32.0,147
Mazda,2,2014,regular unleaded,100,4,automatic,front wheel drive,4,hatchback,compact,4dr hatchback,34,28,586,17050,31.0,170
Mazda,2,2014,regular unleaded,100,4,automatic,front wheel drive,4,hatchback,compact,4dr hatchback,34,28,586,15560,31.0,156
Mazda,2,2014,regular unleaded,100,4,manual,front wheel drive,4,hatchback,compact,4dr hatchback,35,29,586,16210,32.0,162
Mazda,2,2014,regular unleaded,100,4,manual,front wheel drive,4,hatchback,compact,4dr hatchback,35,29,586,14720,32.0,147
BMW,3 Series Gran Turismo,2015,premium unleaded (required),300,6,automatic,all wheel drive,4,"hatchback,luxury,performance",midsize,4dr hatchback,30,20,3916,47250,25.0,158
BMW,3 Series Gran Turismo,2015,premium unleaded (required),240,4,automatic,all wheel drive,4,"hatchback,luxury",midsize,4dr hatchback,33,22,3916,41850,27.5,174
BMW,3 Series Gran Turismo,2016,premium unleaded (required),240,4,automatic,all wheel drive,4,"hatchback,luxury",midsize,4dr hatchback,34,22,3916,43000,28.0,179
BMW,3 Series Gran Turismo,2016,premium unleaded (required),300,6,automatic,all wheel drive,4,"hatchback,luxury,performance",midsize,4dr hatchback,30,20,3916,49200,25.0,164
BMW,3 Series Gran Turismo,2017,premium unleaded (required),320,6,automatic,all wheel drive,4,"hatchback,luxury,performance",midsize,4dr hatchback,30,20,3916,49650,25.0,155
BMW,3 Series Gran Turismo,2017,premium unleaded (required),248,4,automatic,all wheel drive,4,"hatchback,luxury",midsize,4dr hatchback,33,23,3916,43950,28.0,177
BMW,3 Series,2015,premium unleaded (required),241,4,automatic,all wheel drive,4,luxury,midsize,wagon,33,22,3916,41950,27.5,174
BMW,3 Series,2015,premium unleaded (required),335,6,automatic,rear wheel drive,4,"luxury,high-performance,hybrid",midsize,sedan,33,25,3916,50150,29.0,150
BMW,3 Series,2015,premium unleaded (required),240,4,automatic,rear wheel drive,4,"luxury,performance",midsize,sedan,35,23,3916,37500,29.0,156
BMW,3 Series,2015,premium unleaded (required),300,6,automatic,rear wheel drive,4,"luxury,high-performance",midsize,sedan,32,21,3916,43750,26.5,146
BMW,3 Series,2015,diesel,180,4,automatic,rear wheel drive,4,"diesel,luxury",midsize,sedan,45,32,3916,39000,38.5,217
BMW,3 Series,2015,premium unleaded (required),240,4,automatic,all wheel drive,4,luxury,midsize,sedan,33,22,3916,39500,27.5,165
BMW,3 Series,2015,premium unleaded (required),180,4,automatic,all wheel drive,4,luxury,midsize,sedan,35,23,3916,34950,29.0,194
BMW,3 Series,2015,premium unleaded (required),300,6,automatic,all wheel drive,4,"luxury,performance",midsize,sedan,30,20,3916,45750,25.0,152
BMW,3 Series,2015,diesel,180,4,automatic,all wheel drive,4,"diesel,luxury",midsize,wagon,43,31,3916,43450,37.0,241
BMW,3 Series,2015,diesel,180,4,automatic,all wheel drive,4,"diesel,luxury",midsize,sedan,43,31,3916,41000,37.0,228
BMW,3 Series,2015,premium unleaded (required),180,4,automatic,rear wheel drive,4,luxury,midsize,sedan,36,24,3916,32950,30.0,183
BMW,3 Series,2016,diesel,180,4,automatic,all wheel drive,4,"diesel,luxury",midsize,sedan,40,30,3916,41850,35.0,232
BMW,3 Series,2016,premium unleaded (required),320,6,automatic,all wheel drive,4,"luxury,high-performance",midsize,sedan,33,22,3916,47800,27.5,149
BMW,3 Series,2016,diesel,180,4,automatic,rear wheel drive,4,"diesel,luxury",midsize,sedan,42,32,3916,39850,37.0,221
BMW,3 Series,2016,premium unleaded (required),240,4,automatic,rear wheel drive,4,"luxury,performance",midsize,sedan,34,22,3916,38350,28.0,160
BMW,3 Series,2016,premium unleaded (required),240,4,automatic,all wheel drive,4,luxury,midsize,sedan,34,22,3916,40350,28.0,168
BMW,3 Series,2016,premium unleaded (required),240,4,manual,rear wheel drive,4,"luxury,performance",midsize,sedan,34,22,3916,38350,28.0,160
BMW,3 Series,2016,premium unleaded (required),240,4,automatic,all wheel drive,4,luxury,midsize,wagon,34,22,3916,42650,28.0,178
BMW,3 Series,2016,premium unleaded (required),180,4,automatic,rear wheel drive,4,luxury,midsize,sedan,36,24,3916,33150,30.0,184
BMW,3 Series,2016,premium unleaded (required),180,4,automatic,all wheel drive,4,luxury,midsize,sedan,35,23,3916,35150,29.0,195
BMW,3 Series,2016,diesel,180,4,automatic,all wheel drive,4,"diesel,luxury",midsize,wagon,40,30,3916,44150,35.0,245
BMW,3 Series,2016,premium unleaded (required),320,6,automatic,rear wheel drive,4,"luxury,high-performance",midsize,sedan,33,22,3916,45800,27.5,143
BMW,3 Series,2017,premium unleaded (recommended),248,4,automatic,rear wheel drive,4,"luxury,performance",midsize,sedan,34,23,3916,38750,28.5,156
BMW,3 Series,2017,premium unleaded (recommended),180,4,automatic,all wheel drive,4,luxury,midsize,sedan,34,23,3916,35450,28.5,197
BMW,3 Series,2017,premium unleaded (recommended),180,4,automatic,rear wheel drive,4,luxury,midsize,sedan,35,23,3916,33450,29.0,186
BMW,3 Series,2017,premium unleaded (recommended),248,4,automatic,all wheel drive,4,luxury,midsize,sedan,33,23,3916,40750,28.0,164
BMW,3 Series,2017,diesel,180,4,automatic,all wheel drive,4,"diesel,luxury",midsize,sedan,40,30,3916,42250,35.0,235
BMW,3 Series,2017,premium unleaded (recommended),248,4,automatic,all wheel drive,4,luxury,midsize,wagon,33,23,3916,42950,28.0,173
BMW,3 Series,2017,diesel,180,4,automatic,rear wheel drive,4,"diesel,luxury",midsize,sedan,42,32,3916,40250,37.0,224
BMW,3 Series,2017,premium unleaded (recommended),320,6,automatic,all wheel drive,4,"luxury,performance",midsize,sedan,31,21,3916,49900,26.0,156
BMW,3 Series,2017,premium unleaded (recommended),320,6,automatic,rear wheel drive,4,"luxury,high-performance",midsize,sedan,32,21,3916,47900,26.5,150
BMW,3 Series,2017,diesel,180,4,automatic,all wheel drive,4,"diesel,luxury",midsize,wagon,40,30,3916,44450,35.0,247
Mitsubishi,3000GT,1997,regular unleaded,218,6,manual,front wheel drive,2,"hatchback,performance",compact,2dr hatchback,23,17,436,3941,20.0,18
Mitsubishi,3000GT,1997,regular unleaded,161,6,manual,front wheel drive,2,hatchback,compact,2dr hatchback,22,17,436,3295,19.5,20
Mitsubishi,3000GT,1997,regular unleaded,320,6,manual,all wheel drive,2,"hatchback,factory tuner,performance",compact,2dr hatchback,22,16,436,6008,19.0,19
Mitsubishi,3000GT,1998,regular unleaded,320,6,manual,all wheel drive,2,"hatchback,factory tuner,performance",compact,2dr hatchback,22,16,436,6710,19.0,21
Mitsubishi,3000GT,1998,regular unleaded,161,6,manual,front wheel drive,2,hatchback,compact,2dr hatchback,22,17,436,3701,19.5,23
Mitsubishi,3000GT,1998,regular unleaded,218,6,manual,front wheel drive,2,"hatchback,performance",compact,2dr hatchback,23,17,436,4671,20.0,21
Mitsubishi,3000GT,1999,regular unleaded,218,6,manual,front wheel drive,2,"hatchback,performance",compact,2dr hatchback,23,17,436,5306,20.0,24
Mitsubishi,3000GT,1999,regular unleaded,320,6,manual,all wheel drive,2,"hatchback,factory tuner,performance",compact,2dr hatchback,22,16,436,7600,19.0,24
Mitsubishi,3000GT,1999,regular unleaded,161,6,manual,front wheel drive,2,hatchback,compact,2dr hatchback,22,17,436,4090,19.5,25
Chrysler,300,2015,regular unleaded,300,6,automatic,all wheel drive,4,"crossover,performance",large,sedan,27,18,1013,37570,22.5,125
Chrysler,300,2015,regular unleaded,292,6,automatic,rear wheel drive,4,crossover,large,sedan,31,19,1013,31695,25.0,109
Chrysler,300,2015,regular unleaded,292,6,automatic,rear wheel drive,4,"factory tuner,high-performance",large,sedan,31,19,1013,38070,25.0,130
Chrysler,300,2015,regular unleaded,292,6,automatic,all wheel drive,4,"crossover,luxury",large,sedan,27,18,1013,44895,22.5,154
Chrysler,300,2015,regular unleaded,300,6,automatic,rear wheel drive,4,performance,large,sedan,31,19,1013,35070,25.0,117
Chrysler,300,2015,regular unleaded,292,6,automatic,rear wheel drive,4,performance,large,sedan,31,19,1013,42395,25.0,145
Chrysler,300,2015,regular unleaded,292,6,automatic,all wheel drive,4,crossover,large,sedan,27,18,1013,34195,22.5,117
Chrysler,300,2015,regular unleaded,292,6,automatic,all wheel drive,4,"crossover,luxury",large,sedan,27,18,1013,40570,22.5,139
Chrysler,300,2016,regular unleaded,300,6,automatic,all wheel drive,4,unspecified,large,sedan,27,18,1013,38095,22.5,127
Chrysler,300,2016,regular unleaded,300,6,automatic,rear wheel drive,4,performance,large,sedan,31,19,1013,35595,25.0,119
Chrysler,300,2016,regular unleaded,292,6,automatic,all wheel drive,4,unspecified,large,sedan,27,18,1013,45190,22.5,155
Chrysler,300,2016,regular unleaded,292,6,automatic,rear wheel drive,4,performance,large,sedan,31,19,1013,32260,25.0,110
Chrysler,300,2016,regular unleaded,292,6,automatic,all wheel drive,4,unspecified,large,sedan,27,18,1013,37755,22.5,129
Chrysler,300,2016,regular unleaded,292,6,automatic,all wheel drive,4,unspecified,large,sedan,27,18,1013,41055,22.5,141
Chrysler,300,2016,regular unleaded,300,6,automatic,rear wheel drive,4,performance,large,sedan,31,19,1013,36090,25.0,120
Chrysler,300,2016,regular unleaded,292,6,automatic,rear wheel drive,4,performance,large,sedan,31,19,1013,42690,25.0,146
Chrysler,300,2016,regular unleaded,292,6,automatic,rear wheel drive,4,crossover,large,sedan,31,19,1013,38555,25.0,132
Chrysler,300,2016,regular unleaded,292,6,automatic,rear wheel drive,4,unspecified,large,sedan,31,19,1013,35255,25.0,121
Chrysler,300,2016,regular unleaded,300,6,automatic,all wheel drive,4,"crossover,luxury,diesel",large,sedan,27,18,1013,38590,22.5,129
Chrysler,300,2016,regular unleaded,292,6,automatic,all wheel drive,4,flex fuel,large,sedan,27,18,1013,34760,22.5,119
Chrysler,300,2017,regular unleaded,292,6,automatic,all wheel drive,4,hybrid,large,sedan,27,18,1013,41135,22.5,141
Chrysler,300,2017,regular unleaded,292,6,automatic,all wheel drive,4,high-performance,large,sedan,27,18,1013,45270,22.5,155
Chrysler,300,2017,regular unleaded,300,6,automatic,all wheel drive,4,flex fuel,large,sedan,27,18,1013,38670,22.5,129
Chrysler,300,2017,regular unleaded,292,6,automatic,rear wheel drive,4,performance,large,sedan,30,19,1013,38635,24.5,132
Chrysler,300,2017,regular unleaded,300,6,automatic,rear wheel drive,4,performance,large,sedan,30,19,1013,36170,24.5,121
Chrysler,300,2017,regular unleaded,300,6,automatic,all wheel drive,4,unspecified,large,sedan,27,18,1013,38175,22.5,127
Chrysler,300,2017,regular unleaded,292,6,automatic,rear wheel drive,4,unspecified,large,sedan,30,19,1013,32340,24.5,111
Chrysler,300,2017,regular unleaded,292,6,automatic,rear wheel drive,4,performance,large,sedan,30,19,1013,42770,24.5,146
Chrysler,300,2017,regular unleaded,292,6,automatic,all wheel drive,4,crossover,large,sedan,27,18,1013,34840,22.5,119
Chrysler,300,2017,regular unleaded,300,6,automatic,rear wheel drive,4,performance,large,sedan,30,19,1013,35675,24.5,119
Chrysler,300M,2002,premium unleaded (required),250,6,automatic,front wheel drive,4,performance,large,sedan,24,16,1013,32065,20.0,128
Chrysler,300M,2002,premium unleaded (required),250,6,automatic,front wheel drive,4,performance,large,sedan,24,16,1013,28540,20.0,114
Chrysler,300M,2003,premium unleaded (required),255,6,automatic,front wheel drive,4,performance,large,sedan,25,16,1013,32315,20.5,127
Chrysler,300M,2003,regular unleaded,250,6,automatic,front wheel drive,4,performance,large,sedan,25,16,1013,28885,20.5,116
Chrysler,300M,2004,regular unleaded,250,6,automatic,front wheel drive,4,performance,large,sedan,25,16,1013,29185,20.5,117
Chrysler,300M,2004,premium unleaded (required),255,6,automatic,front wheel drive,4,performance,large,sedan,25,16,1013,32615,20.5,128
Nissan,300ZX,1995,regular unleaded,300,6,manual,rear wheel drive,2,performance,compact,coupe,22,16,2009,3049,19.0,10
Nissan,300ZX,1995,regular unleaded,222,6,manual,rear wheel drive,2,performance,compact,coupe,22,17,2009,2774,19.5,12
Nissan,300ZX,1995,regular unleaded,222,6,manual,rear wheel drive,2,performance,compact,coupe,22,17,2009,2702,19.5,12
Nissan,300ZX,1995,regular unleaded,222,6,manual,rear wheel drive,2,performance,compact,convertible,22,17,2009,3101,19.5,14
Nissan,300ZX,1996,regular unleaded,300,6,manual,rear wheel drive,2,performance,compact,coupe,22,16,2009,3510,19.0,12
Nissan,300ZX,1996,regular unleaded,222,6,manual,rear wheel drive,2,performance,compact,coupe,22,17,2009,3107,19.5,14
Nissan,300ZX,1996,regular unleaded,222,6,manual,rear wheel drive,2,performance,compact,convertible,22,17,2009,3624,19.5,16
Nissan,300ZX,1996,regular unleaded,222,6,manual,rear wheel drive,2,performance,compact,coupe,22,17,2009,3185,19.5,14
Nissan,350Z,2007,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,convertible,23,17,2009,36550,20.0,119
Nissan,350Z,2007,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,convertible,23,17,2009,41250,20.0,135
Nissan,350Z,2007,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,coupe,24,17,2009,30600,20.5,100
Nissan,350Z,2007,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,coupe,24,17,2009,37100,20.5,121
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,coupe,25,18,2009,27900,21.5,91
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,coupe,25,18,2009,32700,21.5,107
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,convertible,24,17,2009,40250,20.5,132
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,convertible,24,17,2009,35550,20.5,116
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,coupe,25,18,2009,36100,21.5,118
Nissan,350Z,2007,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,coupe,24,17,2009,33200,20.5,108
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,convertible,24,17,2009,37900,20.5,124
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,coupe,25,18,2009,29600,21.5,97
Nissan,350Z,2007,regular unleaded,306,6,manual,rear wheel drive,2,"factory tuner,high-performance",compact,coupe,25,18,2009,38070,21.5,124
Nissan,350Z,2007,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,convertible,23,17,2009,38900,20.0,127
Nissan,350Z,2008,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,coupe,24,17,2009,33840,20.5,111
Nissan,350Z,2008,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,convertible,24,17,2009,38630,20.5,126
Nissan,350Z,2008,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,convertible,23,17,2009,39630,20.0,130
Nissan,350Z,2008,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,coupe,24,17,2009,37740,20.5,123
Nissan,350Z,2008,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,convertible,23,17,2009,41980,20.0,137
Nissan,350Z,2008,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,convertible,24,17,2009,36280,20.5,119
Nissan,350Z,2008,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,coupe,25,18,2009,36740,21.5,120
Nissan,350Z,2008,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,convertible,24,17,2009,40980,20.5,134
Nissan,350Z,2008,regular unleaded,306,6,manual,rear wheel drive,2,"factory tuner,high-performance",compact,coupe,25,18,2009,38680,21.5,126
Nissan,350Z,2008,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,coupe,25,18,2009,28510,21.5,93
Nissan,350Z,2008,regular unleaded,306,6,manual,rear wheel drive,2,high-performance,compact,coupe,25,18,2009,30210,21.5,99
Nissan,350Z,2008,regular unleaded,306,6,automatic,rear wheel drive,2,high-performance,compact,coupe,24,17,2009,31210,20.5,102
